Image,PSNR_Bicubic,PSNR_FSRCNN,PSNR_FSRCNN_Human,Best,,SSIM_Bicubic,SSIM_FSRCNN,SSIM_FSRCNN_Human,Best
ds11_pexels-photo-792692.png,43.2153,43.4708,44.1516,PSNR_FSRCNN_Human,,0.987,0.9878,0.9878,SSIM_FSRCNN_Human
ds11_pexels-photo-796060.png,21.5597,21.615,21.7147,PSNR_FSRCNN_Human,,0.641,0.6457,0.6574,SSIM_FSRCNN_Human
ds11_pexels-photo-811048.png,31.5639,31.9107,32.035,PSNR_FSRCNN_Human,,0.926,0.9293,0.9313,SSIM_FSRCNN_Human
ds11_pexels-photo-835930.png,30.7037,31.008,31.2771,PSNR_FSRCNN_Human,,0.8952,0.9001,0.9019,SSIM_FSRCNN_Human
ds11_pexels-photo-858120.png,28.4527,28.7721,28.8735,PSNR_FSRCNN_Human,,0.8726,0.8782,0.8802,SSIM_FSRCNN_Human
ds11_pexels-photo-859181.png,34.2614,35.1356,35.1527,PSNR_FSRCNN_Human,,0.9652,0.9681,0.9676,SSIM_FSRCNN
ds11_pexels-photo-859192.png,27.1331,27.8663,27.9922,PSNR_FSRCNN_Human,,0.8769,0.8869,0.8855,SSIM_FSRCNN
ds11_pexels-photo-859194.png,29.7611,30.1485,30.3791,PSNR_FSRCNN_Human,,0.8664,0.8721,0.8765,SSIM_FSRCNN_Human
ds11_pexels-photo-859199.png,35.4732,36.3433,36.8655,PSNR_FSRCNN_Human,,0.9612,0.9641,0.9645,SSIM_FSRCNN_Human
ds11_pexels-photo-859202.png,29.9344,31.0221,31.2175,PSNR_FSRCNN_Human,,0.9199,0.9275,0.9264,SSIM_FSRCNN
ds11_pexels-photo-859204.png,31.3609,32.213,32.576,PSNR_FSRCNN_Human,,0.9159,0.9219,0.9241,SSIM_FSRCNN_Human
ds11_pexels-photo-860505.png,29.8891,30.2781,30.4653,PSNR_FSRCNN_Human,,0.8817,0.8862,0.8892,SSIM_FSRCNN_Human
ds11_pexels-photo-860507.png,30.5777,31.2511,31.7623,PSNR_FSRCNN_Human,,0.9255,0.9286,0.9292,SSIM_FSRCNN_Human
ds11_pexels-photo-860508.png,30.181,30.6143,30.7994,PSNR_FSRCNN_Human,,0.8899,0.894,0.8948,SSIM_FSRCNN_Human
ds11_pexels-photo-860511.png,31.0986,31.8179,32.2091,PSNR_FSRCNN_Human,,0.922,0.9254,0.9257,SSIM_FSRCNN_Human
ds11_pexels-photo-860645.png,33.7455,33.9647,34.1572,PSNR_FSRCNN_Human,,0.9225,0.9252,0.9255,SSIM_FSRCNN_Human
ds11_pexels-photo-863859.png,38.7017,38.5881,38.9186,PSNR_FSRCNN_Human,,0.9824,0.9831,0.9826,SSIM_FSRCNN
ds11_pexels-photo-864078.png,32.1741,32.5883,33.0127,PSNR_FSRCNN_Human,,0.9035,0.9081,0.9126,SSIM_FSRCNN_Human
ds11_pexels-photo-864925.png,32.4843,32.9205,33.3145,PSNR_FSRCNN_Human,,0.9024,0.9057,0.908,SSIM_FSRCNN_Human
ds11_pexels-photo-865522.png,38.3131,38.2228,38.436,PSNR_FSRCNN_Human,,0.976,0.9766,0.9763,SSIM_FSRCNN
ds11_pexels-photo-865547.png,24.1856,24.5961,24.702,PSNR_FSRCNN_Human,,0.874,0.88,0.8771,SSIM_FSRCNN
ds11_pexels-photo-866027.png,38.5072,39.1912,39.7006,PSNR_FSRCNN_Human,,0.9766,0.9787,0.9784,SSIM_FSRCNN
ds11_pexels-photo-867212.png,41.2039,41.3315,42.0129,PSNR_FSRCNN_Human,,0.9838,0.9847,0.9847,SSIM_FSRCNN_Human
ds11_pexels-photo-867220.png,34.6072,35.094,35.5933,PSNR_FSRCNN_Human,,0.9386,0.9425,0.9457,SSIM_FSRCNN_Human
ds11_pexels-photo-867525.png,27.7927,28.3385,28.5234,PSNR_FSRCNN_Human,,0.9056,0.9095,0.9108,SSIM_FSRCNN_Human
ds11_pexels-photo-867526.png,26.6103,26.7737,26.4669,PSNR_FSRCNN,,0.8618,0.8666,0.8684,SSIM_FSRCNN_Human
ds11_pexels-photo-867527.png,32.3646,32.7423,32.9356,PSNR_FSRCNN_Human,,0.9359,0.9385,0.9389,SSIM_FSRCNN_Human
ds11_pexels-photo-867529.png,31.8148,32.122,32.3456,PSNR_FSRCNN_Human,,0.9106,0.9149,0.9189,SSIM_FSRCNN_Human
ds11_pexels-photo-868704.png,39.7903,39.7751,40.2617,PSNR_FSRCNN_Human,,0.9838,0.9849,0.9851,SSIM_FSRCNN_Human
ds11_pexels-photo-871493.png,29.2715,29.5731,29.8041,PSNR_FSRCNN_Human,,0.8966,0.9012,0.9033,SSIM_FSRCNN_Human
ds11_pexels-photo-873318.png,29.7589,30.1365,30.0887,PSNR_FSRCNN,,0.8868,0.8929,0.894,SSIM_FSRCNN_Human
ds11_pexels-photo-874576.png,31.1419,31.3215,31.5541,PSNR_FSRCNN_Human,,0.9177,0.92,0.9226,SSIM_FSRCNN_Human
ds11_pexels-photo-874707.png,32.1842,32.4104,32.6529,PSNR_FSRCNN_Human,,0.9309,0.9321,0.9334,SSIM_FSRCNN_Human
ds11_pexels-photo-878676.png,31.8544,32.11,32.4593,PSNR_FSRCNN_Human,,0.8971,0.9005,0.9052,SSIM_FSRCNN_Human
ds11_pexels-photo-878725.png,23.4117,23.5306,23.6234,PSNR_FSRCNN_Human,,0.6283,0.6355,0.6456,SSIM_FSRCNN_Human
ds11_pexels-photo-878781.png,37.9301,38.1388,38.6719,PSNR_FSRCNN_Human,,0.9588,0.9602,0.961,SSIM_FSRCNN_Human
ds11_pexels-photo-880470.png,27.5062,27.7163,27.8438,PSNR_FSRCNN_Human,,0.8568,0.8601,0.8603,SSIM_FSRCNN_Human
ds11_pexels-photo-880520.png,31.4471,31.7245,31.9155,PSNR_FSRCNN_Human,,0.9168,0.92,0.922,SSIM_FSRCNN_Human
ds11_pexels-photo-881622.png,35.0948,35.1824,35.4523,PSNR_FSRCNN_Human,,0.8959,0.8978,0.8993,SSIM_FSRCNN_Human
ds11_pexels-photo-885197.png,34.7339,34.7507,34.9122,PSNR_FSRCNN_Human,,0.9246,0.9266,0.9284,SSIM_FSRCNN_Human
Average,32.0449,32.4078,32.6707,PSNR_FSRCNN_Human,,0.9054,0.909,0.9108,SSIM_FSRCNN_Human
