Image,PSNR_Bicubic,PSNR_FSRCNN,PSNR_FSRCNN_Human,Best,,SSIM_Bicubic,SSIM_FSRCNN,SSIM_FSRCNN_Human,Best
set14_barbara.png,29.1719,29.4786,29.9375,PSNR_FSRCNN_Human,,0.8585,0.8655,0.8753,SSIM_FSRCNN_Human
set14_comic.png,25.285,25.5978,25.7538,PSNR_FSRCNN_Human,,0.799,0.8102,0.816,SSIM_FSRCNN_Human
set14_face.png,34.9404,35.1826,35.4346,PSNR_FSRCNN_Human,,0.8468,0.8504,0.8538,SSIM_FSRCNN_Human
set14_foreman.png,32.1563,33.0439,33.3463,PSNR_FSRCNN_Human,,0.9395,0.9472,0.9479,SSIM_FSRCNN_Human
set14_lenna.png,32.7671,33.1838,33.553,PSNR_FSRCNN_Human,,0.8638,0.8686,0.8727,SSIM_FSRCNN_Human
set14_man.png,29.7715,30.104,30.0879,PSNR_FSRCNN,,0.8904,0.8939,0.895,SSIM_FSRCNN_Human
set5_baby.png,34.4902,34.4807,34.6476,PSNR_FSRCNN_Human,,0.9422,0.944,0.9453,SSIM_FSRCNN_Human
set5_head.png,34.0756,34.0128,34.0281,PSNR_FSRCNN_Human,,0.8427,0.8446,0.8453,SSIM_FSRCNN_Human
set5_woman.png,30.812,31.8738,32.2133,PSNR_FSRCNN_Human,,0.9363,0.9428,0.9445,SSIM_FSRCNN_Human
Average,31.4967,31.8842,32.1113,PSNR_FSRCNN_Human,,0.8799,0.8852,0.8884,SSIM_FSRCNN_Human
